City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,279.75,91,100,1.79,US,1702261419
1,port-aux-francais,-49.35,70.2167,277.27,79,75,9.51,TF,1702261202
2,putina,-15.4667,-69.4333,282.36,72,96,3.9,PE,1702261420
3,cacimba de dentro,-6.6417,-35.79,294.27,76,1,2.83,BR,1702261420
4,punta arenas,-53.15,-70.9167,279.21,70,0,1.03,CL,1702261380
5,estherville,43.4016,-94.8328,267.35,92,0,2.06,US,1702261421
6,margaret river,-33.95,115.0667,297.47,29,0,2.54,AU,1702261422
7,roma,43.2128,-75.4557,277.25,96,100,1.54,US,1702261424
8,iqaluit,63.7506,-68.5145,269.0,73,100,9.77,CA,1702261424
9,suining,30.508,105.5733,286.89,79,100,2.19,CN,1702261425
10,west island,-12.1568,96.8225,301.14,69,16,5.66,CC,1702261356
11,ushuaia,-54.8,-68.3,279.96,57,0,4.12,AR,1702261290
12,kuqa,41.7278,82.9364,269.53,60,5,1.09,CN,1702261426
13,edinburgh of the seven seas,-37.0676,-12.3116,286.83,71,96,8.05,SH,1702261358
14,hawaiian paradise park,19.5933,-154.9731,298.72,93,100,1.54,US,1702261366
15,vila velha,-20.3297,-40.2925,297.56,85,75,1.54,BR,1702261428
16,bardsir,29.9227,56.5743,280.2,24,43,1.58,IR,1702261428
17,hilo,19.7297,-155.09,300.53,95,100,1.79,US,1702261134
18,coquimbo,-29.9533,-71.3436,289.0,82,0,1.54,CL,1702261397
19,aasiaat,68.7098,-52.8699,269.91,89,100,5.8,GL,1702261430
20,beaufort west,-32.3567,22.583,285.44,83,1,2.68,ZA,1702261430
21,maralal,1.0968,36.698,287.16,88,60,2.24,KE,1702261431
22,nevel'sk,46.6733,141.8633,264.23,74,100,10.82,RU,1702261431
23,carnarvon,-24.8667,113.6333,303.92,25,0,7.96,AU,1702261365
24,novyy turtkul',41.55,61.0167,268.1,24,100,7.28,UZ,1702261432
25,saurimo,-9.6608,20.3916,290.79,98,93,1.37,AO,1702261433
26,longyearbyen,78.2186,15.6401,272.06,64,100,5.66,SJ,1702261433
27,mocimboa,-11.3167,40.35,298.34,90,87,0.77,MZ,1702261434
28,bredasdorp,-34.5322,20.0403,287.97,84,0,1.36,ZA,1702261368
29,adamstown,-25.066,-130.1015,294.44,56,0,2.6,PN,1702261357
30,kone,-21.0595,164.8658,304.09,40,100,2.75,NC,1702261435
31,margate,51.3813,1.3862,284.76,75,80,6.71,GB,1702261436
32,natal,-5.795,-35.2094,299.51,78,20,2.57,BR,1702261403
33,waitangi,-43.9535,-176.5597,288.05,59,0,2.24,NZ,1702261437
